firstname,lastname,email,date_hired,title,role_id,training_package_id,reminder_email,tags
Ocean,Mathews,test0440@crossroadstech.net,8/6/2017,green,3,1,TRUE,"1, 6, 10"
Gil,Brown,test0450@crossroadstech.net,3/24/2017,red,4,1,FALSE,"1, 6, 10"
Quintessa,Chambers,test0460@crossroadstech.net,6/21/2016,violet,3,1,FALSE,"1, 6, 10"
Kay,Hood,test0470@crossroadstech.net,1/29/2018,orange,2,1,TRUE,"1, 6, 10"
Claudia,Ward,test0480@crossroadstech.net,11/30/2017,yellow,2,1,FALSE,"1, 6, 10"
Sonia,Fleming,test0490@crossroadstech.net,7/11/2017,green,1,1,FALSE,"1, 6, 10"
Hunter,Cooley,test0500@crossroadstech.net,10/16/2016,violet,4,1,FALSE,"1, 6, 10"
Ebony,Lester,test0510@crossroadstech.net,6/22/2017,red,3,1,TRUE,"1, 6, 10"
Bertha,Stein,test0520@crossroadstech.net,6/13/2018,violet,1,1,TRUE,"1, 6, 10"
Samuel,Hahn,test0530@crossroadstech.net,5/11/2018,violet,3,1,TRUE,"1, 6, 10"
Fletcher,Alexander,test0540@crossroadstech.net,3/7/2018,red,1,1,FALSE,"1, 6, 10"
Rebecca,Landry,test0550@crossroadstech.net,1/9/2017,blue,1,1,FALSE,"1, 6, 10"
Steel,Merritt,test0560@crossroadstech.net,3/12/2017,indigo,3,1,TRUE,"1, 6, 10"
Savannah,Mccray,test0570@crossroadstech.net,3/15/2017,yellow,4,1,FALSE,"1, 6, 10"
Adam,Hayden,test0580@crossroadstech.net,6/13/2018,orange,2,1,FALSE,"1, 6, 10"
Chadwick,Bond,test0590@crossroadstech.net,12/17/2016,blue,3,1,FALSE,"1, 6, 10"
Alan,Hardin,test0600@crossroadstech.net,9/17/2016,indigo,1,1,TRUE,"1, 6, 10"
Amanda,Norman,test0610@crossroadstech.net,6/5/2017,blue,1,1,TRUE,"1, 6, 10"
Lucian,Gilliam,test0620@crossroadstech.net,4/21/2018,red,1,1,FALSE,"1, 6, 10"
Clare,Mccray,test0630@crossroadstech.net,4/19/2018,indigo,4,1,TRUE,"1, 6, 10"
Petra,Welch,test0640@crossroadstech.net,7/11/2017,yellow,2,1,TRUE,"1, 6, 10"
Hunter,Mcgee,test0650@crossroadstech.net,2/1/2017,green,3,1,FALSE,"1, 6, 10"
Eliana,Merritt,test0660@crossroadstech.net,3/5/2018,green,2,1,TRUE,"1, 6, 10"
Porter,Wong,test0670@crossroadstech.net,1/16/2018,blue,1,1,TRUE,"1, 6, 10"
Miriam,Shelton,test0680@crossroadstech.net,8/20/2016,violet,1,1,FALSE,"1, 6, 10"
Hunter,Mathews,test0690@crossroadstech.net,9/5/2017,orange,3,1,FALSE,"1, 6, 10"
Griffin,Kane,test0700@crossroadstech.net,11/18/2017,yellow,1,1,FALSE,"1, 6, 10"
Theodore,Fulton,test0710@crossroadstech.net,9/19/2016,green,2,1,TRUE,"1, 6, 10"
Katelyn,Barrett,test0720@crossroadstech.net,3/19/2018,green,4,1,TRUE,"1, 6, 10"
Madaline,Crosby,test0730@crossroadstech.net,8/3/2016,indigo,2,1,TRUE,"1, 6, 10"
Kimberly,Morton,test0740@crossroadstech.net,10/22/2017,orange,1,1,TRUE,"1, 6, 10"
Penelope,Holmes,test0750@crossroadstech.net,2/28/2018,yellow,2,1,FALSE,"1, 6, 10"
Meredith,Watkins,test0760@crossroadstech.net,6/17/2017,blue,2,1,TRUE,"1, 6, 10"
Veda,Solis,test0770@crossroadstech.net,2/6/2018,orange,3,1,FALSE,"1, 6, 10"
Graiden,Hodges,test0780@crossroadstech.net,8/20/2016,red,2,1,TRUE,"1, 6, 10"
Lila,Blankenship,test0790@crossroadstech.net,2/8/2017,green,1,1,TRUE,"1, 6, 10"
Gray,Manning,test0800@crossroadstech.net,11/20/2016,orange,2,1,TRUE,"1, 6, 10"
Brody,Fulton,test0810@crossroadstech.net,7/13/2017,indigo,2,1,FALSE,"1, 6, 10"
Ursa,Norton,test0820@crossroadstech.net,12/1/2017,red,4,1,TRUE,"1, 6, 10"
Amela,Berg,test0830@crossroadstech.net,9/17/2016,yellow,2,1,FALSE,"1, 6, 10"
Steven,Rojas,test0840@crossroadstech.net,5/8/2018,red,2,1,TRUE,"1, 6, 10"
Keegan,Nguyen,test0850@crossroadstech.net,2/21/2018,yellow,1,1,TRUE,"1, 6, 10"
Lesley,Woods,test0860@crossroadstech.net,2/5/2017,green,3,1,TRUE,"1, 6, 10"
Abbot,Alvarez,test0870@crossroadstech.net,12/12/2017,blue,3,1,FALSE,"1, 6, 10"
Justine,Benson,test0880@crossroadstech.net,10/22/2017,green,3,1,FALSE,"1, 6, 10"
Cally,Rowe,test0890@crossroadstech.net,3/5/2017,violet,4,1,TRUE,"1, 6, 10"
Dante,Booth,test0900@crossroadstech.net,7/23/2016,violet,1,1,TRUE,"1, 6, 10"
Quinn,Harrison,test0910@crossroadstech.net,5/24/2018,indigo,1,1,FALSE,"1, 6, 10"
Whitney,Richmond,test0920@crossroadstech.net,3/14/2018,violet,3,1,FALSE,"1, 6, 10"
Fiona,Manning,test0930@crossroadstech.net,5/6/2017,indigo,4,1,FALSE,"1, 6, 10"
Lois,Hess,test0940@crossroadstech.net,3/29/2017,red,3,1,FALSE,"1, 6, 10"
Jerome,Henderson,test0950@crossroadstech.net,10/19/2016,blue,1,1,TRUE,"1, 6, 10"
Abigail,House,test0960@crossroadstech.net,9/1/2016,indigo,4,1,TRUE,"1, 6, 10"
Ariel,Vasquez,test0970@crossroadstech.net,10/25/2016,indigo,3,1,TRUE,"1, 6, 10"
Vladimir,Carrillo,test0980@crossroadstech.net,2/25/2018,orange,3,1,TRUE,"1, 6, 10"
Ina,Hardin,test0990@crossroadstech.net,3/13/2018,orange,2,1,FALSE,"1, 6, 10"
Ima,Weaver,test1000@crossroadstech.net,1/26/2018,violet,2,1,FALSE,"1, 6, 10"
Basia,Donaldson,test1010@crossroadstech.net,1/5/2018,indigo,1,1,FALSE,"1, 6, 10"
Slade,Oconnor,test1020@crossroadstech.net,6/4/2017,indigo,2,1,TRUE,"1, 6, 10"
Kevyn,Duffy,test1030@crossroadstech.net,12/1/2016,orange,2,1,FALSE,"1, 6, 10"
Jenna,Battle,test1040@crossroadstech.net,8/7/2017,green,3,1,TRUE,"1, 6, 10"
Jena,Atkins,test1050@crossroadstech.net,1/4/2018,orange,2,1,FALSE,"1, 6, 10"
Christen,Payne,test1060@crossroadstech.net,10/14/2016,blue,2,1,TRUE,"1, 6, 10"
Moses,Ford,test1070@crossroadstech.net,10/20/2017,green,4,1,FALSE,"1, 6, 10"
Hyacinth,Fletcher,test1080@crossroadstech.net,10/19/2016,blue,1,1,TRUE,"1, 6, 10"
Erin,Patterson,test1090@crossroadstech.net,11/23/2016,green,2,1,TRUE,"1, 6, 10"
Reuben,Wooten,test1100@crossroadstech.net,9/21/2017,violet,1,1,FALSE,"1, 6, 10"
Karen,Lyons,test1110@crossroadstech.net,12/11/2016,orange,1,1,TRUE,"1, 6, 10"
Tamekah,Hill,test1120@crossroadstech.net,11/3/2017,green,3,1,FALSE,"1, 6, 10"
Charissa,Conley,test1130@crossroadstech.net,3/8/2018,blue,2,1,TRUE,"1, 6, 10"
Grady,Evans,test1140@crossroadstech.net,5/24/2018,violet,1,1,TRUE,"1, 6, 10"
Hayfa,May,test1150@crossroadstech.net,11/25/2017,indigo,1,1,TRUE,"1, 6, 10"
Amy,Mcconnell,test1160@crossroadstech.net,3/26/2017,green,3,1,TRUE,"1, 6, 10"
Boris,Cortez,test1170@crossroadstech.net,1/27/2017,violet,1,1,FALSE,"1, 6, 10"
Rama,Bowen,test1180@crossroadstech.net,12/2/2017,blue,2,1,FALSE,"1, 6, 10"
Louis,Duffy,test1190@crossroadstech.net,3/17/2018,green,4,1,TRUE,"1, 6, 10"
Murphy,Schwartz,test1200@crossroadstech.net,12/24/2016,orange,4,1,TRUE,"1, 6, 10"
Ivan,Rowe,test1210@crossroadstech.net,3/28/2018,orange,3,1,FALSE,"1, 6, 10"
Thane,Bell,test1220@crossroadstech.net,11/18/2017,violet,2,1,TRUE,"1, 6, 10"
Howard,Calderon,test1230@crossroadstech.net,2/6/2018,indigo,1,1,TRUE,"1, 6, 10"
Reagan,Watkins,test1240@crossroadstech.net,11/30/2016,blue,2,1,TRUE,"1, 6, 10"
Griffin,Davidson,test1250@crossroadstech.net,6/30/2017,orange,1,1,FALSE,"1, 6, 10"
Kiayada,Allison,test1260@crossroadstech.net,9/7/2017,red,2,1,FALSE,"1, 6, 10"
Dai,Pickett,test1270@crossroadstech.net,9/23/2017,orange,2,1,FALSE,"1, 6, 10"
Cassady,Mathews,test1280@crossroadstech.net,10/31/2016,green,1,1,TRUE,"1, 6, 10"
Mikayla,Harding,test1290@crossroadstech.net,10/5/2017,red,2,1,FALSE,"1, 6, 10"
Marshall,Knowles,test1300@crossroadstech.net,11/10/2017,blue,1,1,FALSE,"1, 6, 10"
Liberty,Ramirez,test1310@crossroadstech.net,1/5/2017,red,1,1,TRUE,"1, 6, 10"
Emerson,Chandler,test1320@crossroadstech.net,4/7/2017,green,2,1,TRUE,"1, 6, 10"
Sheila,Patterson,test1330@crossroadstech.net,7/15/2017,green,2,1,FALSE,"1, 6, 10"
Dai,Cummings,test1340@crossroadstech.net,10/9/2017,blue,4,1,FALSE,"1, 6, 10"
Owen,Pennington,test1350@crossroadstech.net,3/17/2017,violet,1,1,FALSE,"1, 6, 10"
Maggy,Holder,test1360@crossroadstech.net,4/12/2018,blue,2,1,FALSE,"1, 6, 10"
Ann,Combs,test1370@crossroadstech.net,11/6/2016,yellow,3,1,FALSE,"1, 6, 10"
Clementine,Roberts,test1380@crossroadstech.net,8/25/2016,yellow,2,1,FALSE,"1, 6, 10"
Chester,Delaney,test1390@crossroadstech.net,6/26/2017,yellow,2,1,FALSE,"1, 6, 10"
Chadwick,Robinson,test1400@crossroadstech.net,12/20/2016,blue,1,1,TRUE,"1, 6, 10"
Meghan,French,test1410@crossroadstech.net,4/13/2017,green,4,1,FALSE,"1, 6, 10"
Inga,Park,test1420@crossroadstech.net,7/17/2016,orange,1,1,FALSE,"1, 6, 10"
Derek,Crosby,test1430@crossroadstech.net,11/6/2017,blue,2,1,TRUE,"1, 6, 10"
Xerxes,Daniels,test1440@crossroadstech.net,5/3/2018,violet,2,1,FALSE,"1, 6, 10"
Lisandra,Newton,test1450@crossroadstech.net,9/21/2017,red,1,1,FALSE,"1, 6, 10"
Quynn,Donaldson,test1460@crossroadstech.net,1/14/2018,red,2,1,FALSE,"1, 6, 10"
Anika,Walters,test1470@crossroadstech.net,5/29/2018,red,3,1,FALSE,"1, 6, 10"
Giacomo,Richmond,test1480@crossroadstech.net,8/22/2016,orange,4,1,FALSE,"1, 6, 10"
Mira,Whitfield,test1490@crossroadstech.net,12/24/2017,indigo,2,1,TRUE,"1, 6, 10"
Omar,Boone,test1500@crossroadstech.net,9/10/2016,indigo,3,1,TRUE,"1, 6, 10"
Levi,Dodson,test1510@crossroadstech.net,6/15/2018,blue,4,1,FALSE,"1, 6, 10"
Burke,Duffy,test1520@crossroadstech.net,11/5/2016,blue,2,1,FALSE,"1, 6, 10"
Josephine,Ward,test1530@crossroadstech.net,11/10/2017,violet,1,1,TRUE,"1, 6, 10"
Brittany,Freeman,test1540@crossroadstech.net,9/7/2017,yellow,1,1,TRUE,"1, 6, 10"
Jemima,Ross,test1550@crossroadstech.net,10/8/2016,blue,2,1,FALSE,"1, 6, 10"
Steel,Yates,test1560@crossroadstech.net,12/19/2017,orange,2,1,TRUE,"1, 6, 10"
Brent,Hodge,test1570@crossroadstech.net,9/29/2017,orange,4,1,FALSE,"1, 6, 10"
Tashya,Hooper,test1580@crossroadstech.net,7/13/2017,indigo,3,1,FALSE,"1, 6, 10"
Donovan,Bond,test1590@crossroadstech.net,3/29/2018,yellow,1,1,TRUE,"1, 6, 10"
Heather,Sosa,test1600@crossroadstech.net,7/31/2017,orange,1,1,TRUE,"1, 6, 10"
Keelie,Jennings,test1610@crossroadstech.net,7/25/2017,orange,3,1,TRUE,"1, 6, 10"
Stone,Padilla,test1620@crossroadstech.net,11/1/2016,yellow,1,1,TRUE,"1, 6, 10"
Ivy,Porter,test1630@crossroadstech.net,5/5/2017,green,4,1,TRUE,"1, 6, 10"
Gray,Kirby,test1640@crossroadstech.net,5/7/2017,yellow,4,1,TRUE,"1, 6, 10"
Karen,Salazar,test1650@crossroadstech.net,3/26/2018,green,2,1,TRUE,"1, 6, 10"
Jena,Gaines,test1660@crossroadstech.net,12/19/2017,indigo,4,1,TRUE,"1, 6, 10"
Colton,Shepherd,test1670@crossroadstech.net,9/9/2016,orange,1,1,TRUE,"1, 6, 10"
Ann,Terry,test1680@crossroadstech.net,6/17/2017,indigo,4,1,FALSE,"1, 6, 10"
Leandra,Carrillo,test1690@crossroadstech.net,11/7/2016,indigo,2,1,TRUE,"1, 6, 10"
Abbot,Whitehead,test1700@crossroadstech.net,4/23/2018,orange,4,1,TRUE,"1, 6, 10"
Sloane,Santana,test1710@crossroadstech.net,3/10/2017,green,3,1,FALSE,"1, 6, 10"
Carolyn,Serrano,test1720@crossroadstech.net,11/23/2017,yellow,2,1,TRUE,"1, 6, 10"
Thomas,Meyer,test1730@crossroadstech.net,3/3/2017,violet,3,1,FALSE,"1, 6, 10"
Karina,Wallace,test1740@crossroadstech.net,1/28/2017,orange,1,1,TRUE,"1, 6, 10"
Kamal,Navarro,test1750@crossroadstech.net,12/20/2017,indigo,1,1,FALSE,"1, 6, 10"
Nehru,Henson,test1760@crossroadstech.net,1/12/2018,blue,3,1,TRUE,"1, 6, 10"
Chandler,Foster,test1770@crossroadstech.net,8/2/2016,violet,3,1,FALSE,"1, 6, 10"
Coby,Molina,test1780@crossroadstech.net,12/27/2016,red,4,1,TRUE,"1, 6, 10"
Luke,Dickerson,test1790@crossroadstech.net,4/18/2017,green,2,1,TRUE,"1, 6, 10"
Holmes,Figueroa,test1800@crossroadstech.net,10/12/2017,indigo,1,1,TRUE,"1, 6, 10"
Aspen,Moon,test1810@crossroadstech.net,1/13/2018,orange,4,1,FALSE,"1, 6, 10"
Hillary,Blackwell,test1820@crossroadstech.net,3/25/2017,yellow,2,1,FALSE,"1, 6, 10"
Jackson,Hood,test1830@crossroadstech.net,3/1/2018,indigo,2,1,TRUE,"1, 6, 10"
Sloane,Hopkins,test1840@crossroadstech.net,8/30/2017,orange,4,1,FALSE,"1, 6, 10"
Eleanor,Holloway,test1850@crossroadstech.net,10/4/2017,green,1,1,FALSE,"1, 6, 10"
Mia,Hobbs,test1860@crossroadstech.net,5/17/2017,blue,1,1,TRUE,"1, 6, 10"
Hector,Luna,test1870@crossroadstech.net,8/21/2016,green,2,1,TRUE,"1, 6, 10"
Ashton,Mcleod,test1880@crossroadstech.net,12/30/2017,orange,1,1,FALSE,"1, 6, 10"
Madeline,Bryant,test1890@crossroadstech.net,5/19/2017,indigo,2,1,FALSE,"1, 6, 10"
Victoria,Kaufman,test1900@crossroadstech.net,1/11/2018,violet,2,1,FALSE,"1, 6, 10"
Brock,Cohen,test1910@crossroadstech.net,1/3/2017,indigo,2,1,TRUE,"1, 6, 10"
Abra,Fletcher,test1920@crossroadstech.net,7/14/2017,orange,3,1,TRUE,"1, 6, 10"
Victor,Fuller,test1930@crossroadstech.net,2/23/2017,blue,4,1,FALSE,"1, 6, 10"
Matthew,Patrick,test1940@crossroadstech.net,12/1/2016,blue,1,1,FALSE,"1, 6, 10"
Kato,Cochran,test1950@crossroadstech.net,4/12/2017,violet,4,1,FALSE,"1, 6, 10"
Noel,Tyson,test1960@crossroadstech.net,4/16/2017,red,1,1,TRUE,"1, 6, 10"
Dorothy,Lucas,test1970@crossroadstech.net,12/9/2017,red,2,1,FALSE,"1, 6, 10"
Kiara,Nelson,test1980@crossroadstech.net,7/7/2016,yellow,3,1,TRUE,"1, 6, 10"
Chadwick,Bradshaw,test1990@crossroadstech.net,9/5/2016,indigo,3,1,TRUE,"1, 6, 10"
Silas,Hanson,test2000@crossroadstech.net,10/7/2016,green,4,1,TRUE,"1, 6, 10"
Wynne,Bright,test2010@crossroadstech.net,11/9/2016,blue,2,1,TRUE,"1, 6, 10"
Halla,Wilson,test2020@crossroadstech.net,4/14/2017,indigo,1,1,FALSE,"1, 6, 10"
Nola,Mcclain,test2030@crossroadstech.net,9/26/2016,blue,4,1,FALSE,"1, 6, 10"
Ethan,Cabrera,test2040@crossroadstech.net,2/17/2018,green,4,1,TRUE,"1, 6, 10"
Adria,Decker,test2050@crossroadstech.net,9/12/2016,orange,3,1,FALSE,"1, 6, 10"
Judith,Wise,test2060@crossroadstech.net,12/15/2016,red,4,1,FALSE,"1, 6, 10"
Christen,Dawson,test2070@crossroadstech.net,5/16/2017,green,1,1,FALSE,"1, 6, 10"
Hall,York,test2080@crossroadstech.net,3/15/2018,red,2,1,FALSE,"1, 6, 10"
Dillon,Ferguson,test2090@crossroadstech.net,9/27/2017,yellow,4,1,TRUE,"1, 6, 10"
Mara,Greene,test2100@crossroadstech.net,8/1/2016,violet,1,1,FALSE,"1, 6, 10"
Ciaran,Blair,test2110@crossroadstech.net,6/2/2017,orange,1,1,TRUE,"1, 6, 10"
Wynne,Olson,test2120@crossroadstech.net,8/8/2016,green,4,1,TRUE,"1, 6, 10"
Chanda,Marsh,test2130@crossroadstech.net,2/4/2018,violet,2,1,TRUE,"1, 6, 10"
Bethany,Scott,test2140@crossroadstech.net,9/10/2016,indigo,4,1,TRUE,"1, 6, 10"
Karina,Valentine,test2150@crossroadstech.net,8/22/2016,red,3,1,FALSE,"1, 6, 10"
Rigel,Hall,test2160@crossroadstech.net,9/9/2016,yellow,4,1,FALSE,"1, 6, 10"
Chandler,Weeks,test2170@crossroadstech.net,9/1/2017,orange,4,1,FALSE,"1, 6, 10"
Iris,Ortega,test2180@crossroadstech.net,8/27/2017,violet,1,1,FALSE,"1, 6, 10"
Quin,Levy,test2190@crossroadstech.net,10/20/2017,yellow,4,1,FALSE,"1, 6, 10"
Keefe,Joseph,test2200@crossroadstech.net,11/3/2016,violet,2,1,TRUE,"1, 6, 10"
Wade,Brooks,test2210@crossroadstech.net,11/10/2017,green,2,1,TRUE,"1, 6, 10"
Hannah,Kelly,test2220@crossroadstech.net,10/16/2016,green,3,1,TRUE,"1, 6, 10"
Travis,Forbes,test2230@crossroadstech.net,12/25/2016,violet,2,1,TRUE,"1, 6, 10"
Maryam,Roth,test2240@crossroadstech.net,12/25/2017,violet,2,1,FALSE,"1, 6, 10"
Hannah,Myers,test2250@crossroadstech.net,6/30/2016,blue,2,1,TRUE,"1, 6, 10"
Robin,Barker,test2260@crossroadstech.net,12/2/2016,orange,1,1,FALSE,"1, 6, 10"
Micah,Holland,test2270@crossroadstech.net,9/13/2017,yellow,1,1,TRUE,"1, 6, 10"
Kenyon,Wilson,test2280@crossroadstech.net,2/13/2018,orange,2,1,FALSE,"1, 6, 10"
Courtney,Haley,test2290@crossroadstech.net,9/7/2017,orange,1,1,TRUE,"1, 6, 10"
Slade,Golden,test2300@crossroadstech.net,5/13/2018,red,2,1,FALSE,"1, 6, 10"
Louis,Matthews,test2310@crossroadstech.net,3/2/2018,orange,2,1,FALSE,"1, 6, 10"
Mufutau,Contreras,test2320@crossroadstech.net,11/29/2017,yellow,3,1,TRUE,"1, 6, 10"
David,Richmond,test2330@crossroadstech.net,3/19/2017,violet,3,1,FALSE,"1, 6, 10"
Emi,Jefferson,test2340@crossroadstech.net,10/11/2017,blue,4,1,TRUE,"1, 6, 10"
Kylee,Mcclure,test2350@crossroadstech.net,4/2/2018,yellow,4,1,TRUE,"1, 6, 10"
Hannah,Huff,test2360@crossroadstech.net,7/7/2017,red,1,1,FALSE,"1, 6, 10"
Colt,Cervantes,test2370@crossroadstech.net,6/1/2018,green,4,1,TRUE,"1, 6, 10"
Wylie,Velasquez,test2380@crossroadstech.net,5/8/2018,indigo,4,1,TRUE,"1, 6, 10"
Declan,Stafford,test2390@crossroadstech.net,1/18/2017,yellow,1,1,TRUE,"1, 6, 10"
Kevin,Duffy,test2400@crossroadstech.net,11/17/2017,orange,1,1,FALSE,"1, 6, 10"
Kevyn,Best,test2410@crossroadstech.net,8/30/2017,green,3,1,FALSE,"1, 6, 10"
Sebastian,Kennedy,test2420@crossroadstech.net,5/19/2017,orange,1,1,FALSE,"1, 6, 10"
Arden,Parsons,test2430@crossroadstech.net,4/27/2017,green,4,1,FALSE,"1, 6, 10"
Sandra,Harrison,test2440@crossroadstech.net,3/10/2017,indigo,4,1,FALSE,"1, 6, 10"
Uta,Orr,test2450@crossroadstech.net,7/11/2017,green,3,1,FALSE,"1, 6, 10"
Sawyer,Bradshaw,test2460@crossroadstech.net,3/25/2018,orange,4,1,TRUE,"1, 6, 10"
Ashton,Chaney,test2470@crossroadstech.net,7/16/2016,yellow,1,1,TRUE,"1, 6, 10"
Leandra,Griffith,test2480@crossroadstech.net,6/21/2017,red,2,1,TRUE,"1, 6, 10"
Sasha,Hendricks,test2490@crossroadstech.net,1/21/2017,yellow,2,1,TRUE,"1, 6, 10"
Althea,Howell,test2500@crossroadstech.net,8/2/2017,orange,1,1,TRUE,"1, 6, 10"
Hasad,English,test2510@crossroadstech.net,3/7/2018,yellow,2,1,FALSE,"1, 6, 10"
Jonas,Trevino,test2520@crossroadstech.net,11/24/2016,red,2,1,TRUE,"1, 6, 10"
Fulton,Leon,test2530@crossroadstech.net,12/17/2017,yellow,3,1,TRUE,"1, 6, 10"
Tallulah,Forbes,test2540@crossroadstech.net,11/30/2017,indigo,4,1,FALSE,"1, 6, 10"
Dora,Murphy,test2550@crossroadstech.net,7/10/2017,red,2,1,FALSE,"1, 6, 10"
Wallace,Parks,test2560@crossroadstech.net,6/10/2017,blue,3,1,TRUE,"1, 6, 10"
Shana,Lane,test2570@crossroadstech.net,12/17/2017,yellow,1,1,FALSE,"1, 6, 10"
Conan,Rowe,test2580@crossroadstech.net,5/1/2018,red,4,1,TRUE,"1, 6, 10"
Melissa,Daugherty,test2590@crossroadstech.net,7/7/2016,yellow,1,1,TRUE,"1, 6, 10"
Hayes,Ochoa,test2600@crossroadstech.net,9/19/2017,green,2,1,TRUE,"1, 6, 10"
Slade,Cote,test2610@crossroadstech.net,11/21/2017,blue,4,1,TRUE,"1, 6, 10"
Kermit,Riddle,test2620@crossroadstech.net,2/11/2018,green,2,1,TRUE,"1, 6, 10"
Lynn,Noble,test2630@crossroadstech.net,5/14/2018,red,1,1,TRUE,"1, 6, 10"
Omar,Sawyer,test2640@crossroadstech.net,8/29/2016,violet,2,1,FALSE,"1, 6, 10"
Barclay,Anderson,test2650@crossroadstech.net,8/6/2017,red,4,1,TRUE,"1, 6, 10"
Wallace,Kim,test2660@crossroadstech.net,6/28/2016,orange,2,1,TRUE,"1, 6, 10"
Rigel,Farley,test2670@crossroadstech.net,3/10/2017,orange,4,1,FALSE,"1, 6, 10"
Judah,Burris,test2680@crossroadstech.net,9/19/2016,red,3,1,FALSE,"1, 6, 10"
Isadora,Booth,test2690@crossroadstech.net,12/6/2016,indigo,1,1,TRUE,"1, 6, 10"
Shannon,King,test2700@crossroadstech.net,2/17/2017,orange,3,1,TRUE,"1, 6, 10"
